电影名称,导演,主演,评分,评分人数,引述
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,8.5,387580,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
杀人回忆,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.6,202556,关于连环杀人悬案的集体回忆。
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,8.5,271417,一个针管引发的血案。
东邪西毒,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.6,242501,电影诗。
虎口脱险,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,8.9,104487,永远看不腻的喜剧。
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,,8.7,360299,老少皆宜，这就是好莱坞动画的魅力。
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,8.6,231261,不要给它起名字，起了名字就有感情了。
卢旺达饭店,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,8.8,115363,当这个世界闭上双眼，他却敞开了怀抱。
喜宴,李安,赵文瑄 / 归亚蕾 / 金素梅,8.8,133813,中国家庭的喜怒哀乐忍。
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔丽·波曼 Natalie P...,8.5,405349,黑暗之美。
小森林 夏秋篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,8.9,121557,那些静得只能听见呼吸的日子里，你明白孤独即生活。
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,8.5,298330,我是一个演员。
魂断蓝桥,Mervyn LeRoy,Vivien Leigh / Robert Taylor / Lucile Watson,8.8,126163,中国式内在的美国电影。
穿越时空的少女,细田守 Mamoru Hosoda,仲里依纱 Riisa Naka / 石田卓也 Takuya...,8.6,180271,爱上未来的你。 
猜火车,丹尼·博伊尔 Danny Boyle,伊万·麦克格雷格 Ewan McGregor / ...,8.5,242747,不可猜的青春迷笛。 
英雄本色,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,8.7,144355,英雄泪短，兄弟情长。 
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,8.5,271929,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
雨中曲,Stanley Donen / Gene Kelly,Gene Kelly / Donald O'Connor / ...,8.9,90585,骨灰级歌舞片。
傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,8.4,290971,爱是摈弃傲慢与偏见之后的曙光。
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,8.7,124953,任何信念的力量，都无法改变命运。
完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,9.0,76355,坏人的好总是比好人的好来得更感人。
纵横四海,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,8.7,137911,香港浪漫主义警匪动作片的巅峰之作。
萤火之森,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.7,149762,触不到的恋人。
玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.7,186536,跨度十五年的欢乐与泪水。
二十二,郭柯 Ke Guo,,8.8,79462,
7号房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.7,165602,《我是山姆》的《美丽人生》。
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,8.6,263544,10年的完美句点。
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,8.6,183766,对爱的执着，可以超越一切。
我是山姆,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,8.8,98676,爱并不需要智商 。
花样年华,王家卫 Kar Wai Wong,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.5,236906,偷情本没有这样美。
浪潮,丹尼斯·甘塞尔 Dennis Gansel,尤尔根·沃格尔 Jürgen Vogel ...,8.7,127040,世界离独裁只有五天。
香水,汤姆·提克威 Tom Tykwer,本·卫肖 Ben Whishaw / 艾伦·瑞克...,8.4,266623,一个单凭体香达到高潮的男人。
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,,8.4,260554,松鼠才是角儿。
追随,克里斯托弗·诺兰 Christopher Nolan,杰里米·西奥伯德 Jeremy...,8.9,78475,诺兰的牛逼来源于内心散发出的恐惧。
朗读者,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特 Kate Winslet ...,8.5,270837,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
撞车,保罗·哈吉斯 Paul Haggis,桑德拉·布洛克 Sandra Bullock / ...,8.6,169192,天使与魔鬼的冲撞。
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,8.6,151931,我们都有权利不与自己的过去和解。
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,8.7,125220,始于荒诞，止于更荒诞。
一次别离,阿斯哈·法哈蒂  Asghar Farhadi,佩曼·莫阿迪 Peyman Moadi /...,8.7,127513,只有有信仰的人才能说出事实真相。
罗生门,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 千秋实 ...,8.7,119020,人生的N种可能性。
时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格利森 Domhnall Gl...,8.6,187687,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
心迷宫,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,8.6,150522,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
唐伯虎点秋香,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.4,305854,华太师是黄霑，吴镇宇四大才子之一。
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,8.6,351108,Balalala~~~
小森林 冬春篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,8.9,104490,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
战争之王,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,8.5,168634,做一颗让别人需要你的棋子。
梦之安魂曲,达伦·阿伦诺夫斯基 Darren Aronofsky,艾伦·伯斯汀 Ellen Bur...,8.7,107819,一场没有春天的噩梦。
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,8.5,283311,诺兰就是保证。
可可西里,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.6,124034,坚硬的信仰。
碧海蓝天,Luc Besson,让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,8.7,105563,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
地球上的星星,阿米尔·汗 Aamir Khan,达席尔·萨法瑞 Darsheel Safary / 阿...,8.8,80324,天使保护事件始末。
秒速5厘米,新海诚 Makoto Shinkai,水桥研二 Kenji Mizuhashi / 近藤好美 ...,8.3,282000,青春就是放弃和怀念。
未麻的部屋,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,8.8,89734,好的剧本是，就算你猜到了结局也猜不到全部。
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,8.3,304626,不要企图在重复中寻找已经失去的爱。
谍影重重2,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,8.5,152831,谁说王家卫镜头很晃？
爆裂鼓手,达米安·沙泽勒 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,8.6,225457,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
谍影重重,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.5,184413,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
阿飞正传,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.5,172172,王家卫是一种风格，张国荣是一个代表。
海盗电台,理查德·柯蒂斯 Richard Curtis,比尔·奈伊 Bill Nighy / 肯尼...,8.6,160949,生命不止，摇滚不死。
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,8.6,160447,Jared Leto的腿比女人还美！
牯岭街少年杀人事件,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,8.7,101155,弱者送给弱者的一刀。
惊魂记,Alfred Hitchcock,Janet Leigh / Anthony Perkins / Vera Miles,8.8,78538,故事的反转与反转，分裂电影的始祖。
魔女宅急便,宫崎骏 Hayao Miyazaki,高山南 / 佐久间玲 / 山口胜平,8.4,185000,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
再次出发之纽约遇见你,约翰·卡尼 John Carney,凯拉·奈特莉 Keira Knightley / 马克...,8.5,158261,爱我就给我看你的播放列表。
绿里奇迹,Frank Darabont,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,8.7,101909,天使暂时离开。
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,8.5,249149,热血沸腾，那个低俗、性感的无耻混蛋又来了。
迁徙的鸟,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,,9.1,50444,最美的飞翔。
东京物语,小津安二郎 Yasujirô Ozu,笠智众 Chishû Ryû / 原节...,9.2,47952,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
勇闯夺命岛,迈克尔·贝 Michael Bay,肖恩·康纳利 Sean Connery / 尼古拉...,8.5,136756,类型片的极致。 
荒野生存,西恩·潘 Sean Penn,埃米尔·赫斯基 Emile Hirsch / 马西娅·...,8.6,122151,出门必备：本草纲目。
末路狂花,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,8.7,99661,没有了退路，只好飞向自由。
卡萨布兰卡,Michael Curtiz,亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...,8.6,119529,与同名歌曲无关。
青蛇,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,8.4,209401,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,8.5,134919,少见的超越首部的续集，动作片中的经典。
忠犬八公物语,Seijirô Kôyama,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,9.0,53751,养狗三日，便会对你终其一生。
哪吒闹海,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,梁正晖 / 邱岳峰 ...,8.8,75592,想你时你在闹海。
燕尾蝶,岩井俊二 Shunji Iwai,三上博史 / 恰拉 / 伊藤步,8.6,104842,现实与童话交相辉映的旅程。
这个男人来自地球,理查德·沙因克曼 Richard Schenkman,大卫·李·史密斯 David ...,8.5,169528,科幻真正的魅力不是视觉效果能取代的。 
变脸,吴宇森 John Woo,约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,8.4,205590,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
英国病人,安东尼·明格拉 Anthony Minghella,拉尔夫·费因斯 Ralph Fien...,8.4,168330,"In memory, love lives forever..."
源代码,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,8.3,392145,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
E.T. 外星人,Steven Spielberg,Henry Thomas / Dee Wallace / Robert MacNa...,8.5,145825,生病的E.T.皮肤的颜色就像柿子饼。
新龙门客栈,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,8.4,174119,嬉笑怒骂，调风动月。
黄金三镖客,Sergio Leone,Clint Eastwood / Eli Wallach / Lee Van Cleef,9.1,48858,最棒的西部片。
发条橙,Stanley Kubrick,Malcolm McDowell / Patrick Magee / Michael...,8.4,178783,我完全康复了。
黑客帝国3：矩阵革命,Andy Wachowski / Larry Wachowski,Keanu Reeves / Laurence F...,8.5,147563,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
美国丽人,萨姆·门德斯 Sam Mendes,凯文·史佩西 Kevin Spacey / 安妮特...,8.4,176800,每个人的内心都是深不可测的大海。 
叫我第一名,彼得·维纳 Peter Werner,詹姆斯·沃克 James Wolk / 特里特·...,8.6,104432,乐观比一切都有力量。
城市之光,Charles Chaplin,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,9.2,40927,永远的小人物，伟大的卓别林。
穆赫兰道,大卫·林奇 David Lynch,娜奥米·沃茨 Naomi Watts / 劳拉·哈...,8.3,224403,大卫·林奇的梦境迷宫。
无耻混蛋,Quentin Tarantino,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,8.4,213865,昆汀同学越来越变态了，比北野武还杜琪峰。
非常嫌疑犯,布莱恩·辛格 Bryan Singer,史蒂芬·鲍德温 Stephen Baldwin /...,8.6,110752,我不信仰上帝，但我敬畏上帝。
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,8.3,437262,黑小鸭速效美白记。
勇士,加文·欧康诺 Gavin O'Connor,汤姆·哈迪 Tom Hardy / 乔尔·...,8.9,84071,热血沸腾，相当完美的娱乐拳击大餐。
上帝也疯狂,Jamie Uys,Marius Weyers / Sandra Prinsloo / N!xau,8.6,92091,纯净原始的笑与感动。
模仿游戏,莫腾·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,8.5,240329,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
蓝色大门,易智言 Chih-yen Yee,陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...,8.3,264384,青春的窃窃私语。 
爱·回家,李廷香 Jeong-hyang Lee,金艺芬 Eul-boon Kim / 俞承豪 Seung-...,9.0,45303,献给所有外婆的电影。
无敌破坏王,瑞奇·莫尔 Rich Moore,简·林奇 Jane Lynch / 约翰·C·赖利 ...,8.6,176729,迪士尼和皮克斯拿错剧本的产物。
大卫·戈尔的一生,Alan Parker,凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...,8.7,85237,捍卫人权只是信仰，一点不妨碍其行为的残忍。
血钻,Edward Zwick,Leonardo DiCaprio / Jennifer Connelly / Djimo...,8.5,123498,每个美丽事物背后都是滴血的现实。
爱在午夜降临前,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,8.8,108486,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
国王的演讲,汤姆·霍珀 Tom Hooper,柯林·菲尔斯 Colin Firth / 杰弗里·...,8.3,322750,皇上无话儿。
曾经,约翰·卡尼 John Carney,格伦·汉塞德 Glen Hansard / 玛可塔...,8.3,195859,有些幸福无关爱情。
麦兜故事,袁建滔 Toe Yuen,李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng,8.5,122275,麦兜是一只很哲学的猪。 
枪火,杜琪峰 Johnnie To,吴镇宇 Francis Ng / 任达华 Simon Yam / ...,8.6,94039,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
暖暖内含光,米歇尔·冈瑞 Michel Gondry,金·凯瑞 Jim Carrey / 凯特·温...,8.4,138210,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
疯狂的石头,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,8.2,294614,中国版《两杆大烟枪》。
遗愿清单,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,8.5,119673,用剩余不多的时间，去燃烧整个生命。
千钧一发,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,8.7,79862,一部能引人思考的科幻励志片。
蝴蝶,菲利普·穆伊尔 Philippe Muyl,米歇尔·塞罗 Michel Serrault ...,8.6,92316,我们长途跋涉寻找的东西，有可能一直就在身边。 
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,8.8,137829,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
荒岛余生,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,8.5,125732,一个人的独角戏。
巴黎淘气帮,Laurent Tirard,马克西姆·戈达尔 Maxime Godart / 瓦莱丽·勒...,8.6,101482,四百击的反面。
与狼共舞,Kevin Costner,Kevin Costner / Mary McDonnell / Graham Greene,8.9,54043,充满诗意与情怀的史诗作品。 
偷拐抢骗,盖·里奇 Guy Ritchie,布拉德·皮特 Brad Pitt / 本尼西奥·德...,8.5,111191,典型盖·里奇式的英国黑色幽默黑帮片。
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,,8.7,207229,愿我们都不用长大，每一座城堡都能永远存在。
月球,邓肯·琼斯 Duncan Jones,山姆·洛克威尔 Sam Rockwell / 凯文...,8.5,136390,2009媲美《第九区》的又一部科幻神作。
我爱你,秋昌民 Chang-min Choo,宋在河 Jae-ho Song / 李顺载 Soon-jae...,9.0,52535,你要相信，这世上真的有爱存在，不管在什么年纪 
夜访吸血鬼,尼尔·乔丹 Neil Jordan,布拉德·皮特 Brad Pitt / 汤姆·克鲁...,8.3,189721,弥漫淡淡血腥气的优雅。
寿司之神,大卫·贾柏 David Gelb,小野二郎  Jiro Ono / 小野祯一 Yoshik...,8.8,77925,仪式主义的狂欢，偏执狂的完胜。
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,8.4,159023,小成本大魅力。
廊桥遗梦,克林特·伊斯特伍德 Clint Eastwood,克林特·伊斯特伍德 Clint...,8.6,93519,这样确切的爱，一生只有一次。
步履不停,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,8.8,60174,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
爱在暹罗,楚克‧萨克瑞科 Chukiat Sakveerakul,维特维斯特·海伦亚沃...,8.3,212482,把爱放在心底，有爱就有希望。
